distribution_center;latitude;longitude;total_inventory_items;available_items;avg_cost_per_item;unique_products
Memphis TN;351.174;-899.711;65861;41456;27.96;3876
Chicago IL;418.369;-876.847;64837;40814;26.71;3922
Houston TX;297.604;-953.698;61666;38770;32.72;3659
Mobile AL;306.944;-880.431;49671;31315;32.49;2910
Los Angeles CA;34.05;-118.25;46929;29500;26.52;2754
Philadelphia PA;39.95;-751.667;45258;28535;31.94;2661
Charleston SC;327.833;-799.333;44710;28186;19.77;2712
Port Authority of New York/New Jersey NY/NJ;40.634;-737.834;44159;27801;27.84;2567
New Orleans LA;29.95;-900.667;35385;22290;29.37;2106
Savannah GA;320.167;-811.167;31713;19931;33.32;1877
;;;;;;
;;;;;;
;;;;;;
;;;;;;
