product_category;total_revenue;;;;
Outerwear & Coats;3335304949272.23;;;;
Jeans;3037743551257.74;;;;
Sweaters;2107687086246.51;;;;
Suits & Sport Coats;1636815249731.11;;;;
Fashion Hoodies & Sweatshirts;1593412007373.04;;;;
Swim;1526149965405.72;;;;
Sleep & Lounge;1425709151792.8;;;;
Tops & Tees;1233029134878.61;;;;
Shorts;1226785881893.51;;;;
Dresses;1133105260677.5;;;;
Intimates;1116905354089.98;;;;
Pants;1111554090456.06;;;;
Active;1090299055322.43;;;;
Accessories;997464906482.28;;;;
Blazers & Jackets;680389361717.39;;;;
Maternity;656211667520.85;;;;
Underwear;515114279487.55;;;;
Pants & Capris;428833521347.74;;;;
Plus;385296397195.1;;;;
Suits;321527188052.56;;;;
Socks;306376120850.43;;;;
Skirts;241334280207.87;;;;
Leggings;205959690591.18;;;;
Socks & Hosiery;151969548208.46;;;;
Jumpsuits & Rompers;97414961736.83;;;;
Clothing Sets;48052108153.63;;;;
