category;units_sold;total_revenue;avg_price;total_profit
Outerwear & Coats;9167;1346960.69;146.94;747908.1
Jeans;12935;1267631.41;98.0;588821.75
Sweaters;11139;852255.76;76.51;442078.44
Suits & Sport Coats;5077;652639.21;128.55;390575.32
Swim;11445;648922.54;56.7;318757.81
Fashion Hoodies & Sweatshirts;11600;631170.18;54.41;303160.7
Sleep & Lounge;11273;555022.45;49.23;286822.82
Shorts;11150;511961.53;45.92;255577.03
Tops & Tees;12104;503561.61;41.6;221830.77
Active;9052;465941.97;51.47;270697.42
Intimates;13302;457126.31;34.37;214166.19
Dresses;5339;442129.67;82.81;242666.8
Pants;7262;428572.81;59.02;231770.74
Accessories;9936;427158.24;42.99;255769.85
Blazers & Jackets;3126;283430.89;90.67;175909.47
Maternity;5107;259798.58;50.87;144931.5
Underwear;7387;203001.79;27.48;107405.81
Pants & Capris;3507;190237.08;54.24;89902.08
Plus;4254;161323.62;37.92;80505.37
Socks;6269;127788.5;20.38;50684.04
