order_month;total_orders;total_items;unique_customers;avg_items_per_order
2019-01-01 00:00:00.000000 UTC;6;10.0;6;1.67
2019-02-01 00:00:00.000000 UTC;24;41.0;24;1.71
2019-03-01 00:00:00.000000 UTC;51;71.0;51;1.39
2019-04-01 00:00:00.000000 UTC;66;98.0;66;1.48
2019-05-01 00:00:00.000000 UTC;99;144.0;99;1.45
2019-06-01 00:00:00.000000 UTC;111;164.0;111;1.48
2019-07-01 00:00:00.000000 UTC;141;195.0;139;1.38
2019-08-01 00:00:00.000000 UTC;184;269.0;182;1.46
2019-09-01 00:00:00.000000 UTC;181;261.0;177;1.44
2019-10-01 00:00:00.000000 UTC;206;279.0;205;1.35
2019-11-01 00:00:00.000000 UTC;230;337.0;229;1.47
2019-12-01 00:00:00.000000 UTC;248;356.0;245;1.44
2020-01-01 00:00:00.000000 UTC;262;361.0;260;1.38
2020-02-01 00:00:00.000000 UTC;306;469.0;301;1.53
2020-03-01 00:00:00.000000 UTC;345;483.0;344;1.4
2020-04-01 00:00:00.000000 UTC;351;486.0;349;1.38
2020-05-01 00:00:00.000000 UTC;370;522.0;365;1.41
2020-06-01 00:00:00.000000 UTC;445;644.0;441;1.45
2020-07-01 00:00:00.000000 UTC;438;644.0;432;1.47
2020-08-01 00:00:00.000000 UTC;415;599.0;414;1.44
2020-09-01 00:00:00.000000 UTC;456;623.0;453;1.37
2020-10-01 00:00:00.000000 UTC;526;769.0;521;1.46
2020-11-01 00:00:00.000000 UTC;521;717.0;517;1.38
2020-12-01 00:00:00.000000 UTC;633;926.0;626;1.46
2021-01-01 00:00:00.000000 UTC;618;915.0;613;1.48
2021-02-01 00:00:00.000000 UTC;538;777.0;534;1.44
2021-03-01 00:00:00.000000 UTC;657;955.0;653;1.45
2021-04-01 00:00:00.000000 UTC;690;1012.0;688;1.47
2021-05-01 00:00:00.000000 UTC;736;1051.0;725;1.43
2021-06-01 00:00:00.000000 UTC;726;1059.0;723;1.46
2021-07-01 00:00:00.000000 UTC;795;1194.0;783;1.5
2021-08-01 00:00:00.000000 UTC;835;1180.0;827;1.41
2021-09-01 00:00:00.000000 UTC;843;1257.0;833;1.49
2021-10-01 00:00:00.000000 UTC;911;1369.0;904;1.5
2021-11-01 00:00:00.000000 UTC;924;1339.0;912;1.45
2021-12-01 00:00:00.000000 UTC;969;1411.0;957;1.46
2022-01-01 00:00:00.000000 UTC;992;1416.0;985;1.43
2022-02-01 00:00:00.000000 UTC;903;1321.0;890;1.46
2022-03-01 00:00:00.000000 UTC;1065;1557.0;1057;1.46
2022-04-01 00:00:00.000000 UTC;1094;1554.0;1090;1.42
2022-05-01 00:00:00.000000 UTC;1215;1732.0;1204;1.43
2022-06-01 00:00:00.000000 UTC;1222;1793.0;1208;1.47
2022-07-01 00:00:00.000000 UTC;1251;1845.0;1236;1.47
2022-08-01 00:00:00.000000 UTC;1337;1971.0;1324;1.47
2022-09-01 00:00:00.000000 UTC;1288;1844.0;1275;1.43
2022-10-01 00:00:00.000000 UTC;1413;2089.0;1397;1.48
2022-11-01 00:00:00.000000 UTC;1418;2133.0;1405;1.5
2022-12-01 00:00:00.000000 UTC;1500;2136.0;1482;1.42
2023-01-01 00:00:00.000000 UTC;1555;2285.0;1539;1.47
2023-02-01 00:00:00.000000 UTC;1472;2153.0;1459;1.46
2023-03-01 00:00:00.000000 UTC;1591;2296.0;1573;1.44
2023-04-01 00:00:00.000000 UTC;1692;2487.0;1674;1.47
2023-05-01 00:00:00.000000 UTC;1823;2659.0;1804;1.46
2023-06-01 00:00:00.000000 UTC;1744;2563.0;1718;1.47
2023-07-01 00:00:00.000000 UTC;1909;2739.0;1884;1.43
2023-08-01 00:00:00.000000 UTC;1926;2789.0;1898;1.45
2023-09-01 00:00:00.000000 UTC;2031;2948.0;2005;1.45
2023-10-01 00:00:00.000000 UTC;2166;3112.0;2133;1.44
2023-11-01 00:00:00.000000 UTC;2193;3113.0;2158;1.42
2023-12-01 00:00:00.000000 UTC;2257;3253.0;2227;1.44
2024-01-01 00:00:00.000000 UTC;2431;3569.0;2389;1.47
2024-02-01 00:00:00.000000 UTC;2416;3447.0;2387;1.43
2024-03-01 00:00:00.000000 UTC;2605;3766.0;2550;1.45
2024-04-01 00:00:00.000000 UTC;2593;3923.0;2561;1.51
2024-05-01 00:00:00.000000 UTC;2750;4001.0;2707;1.45
2024-06-01 00:00:00.000000 UTC;2873;4149.0;2825;1.44
2024-07-01 00:00:00.000000 UTC;3106;4495.0;3038;1.45
2024-08-01 00:00:00.000000 UTC;3206;4596.0;3145;1.43
2024-09-01 00:00:00.000000 UTC;3366;4910.0;3299;1.46
2024-10-01 00:00:00.000000 UTC;3701;5341.0;3620;1.44
2024-11-01 00:00:00.000000 UTC;3720;5465.0;3623;1.47
2024-12-01 00:00:00.000000 UTC;4050;5860.0;3940;1.45
2025-01-01 00:00:00.000000 UTC;4391;6275.0;4251;1.43
2025-02-01 00:00:00.000000 UTC;4134;5961.0;3997;1.44
2025-03-01 00:00:00.000000 UTC;5060;7370.0;4801;1.46
2025-04-01 00:00:00.000000 UTC;5550;8007.0;5222;1.44
2025-05-01 00:00:00.000000 UTC;6526;9498.0;6026;1.46
2025-06-01 00:00:00.000000 UTC;9691;14183.0;7661;1.46
