age;gender;user_count
70;F;826
70;M;867
69;M;857
69;F;871
68;M;849
68;F;901
67;F;887
67;M;879
66;M;804
66;F;838
65;M;843
65;F;826
64;F;902
64;M;850
63;M;816
63;F;875
62;F;853
62;M;801
61;F;858
61;M;854
60;M;797
60;F;884
59;M;804
59;F;826
58;F;888
58;M;877
57;M;828
57;F;845
56;F;889
56;M;821
55;M;809
55;F;850
54;M;808
54;F;825
53;M;848
53;F;904
52;F;790
52;M;859
51;F;819
51;M;855
50;M;833
50;F;827
49;F;826
49;M;892
48;F;803
48;M;843
47;F;868
47;M;873
46;F;857
46;M;870
45;M;840
45;F;827
44;F;878
44;M;829
43;F;829
43;M;863
42;M;888
42;F;893
41;M;815
41;F;852
40;M;835
40;F;852
39;F;861
39;M;827
38;F;862
38;M;823
37;F;826
37;M;877
36;F;819
36;M;825
35;M;830
35;F;833
34;M;890
34;F;834
33;M;882
33;F;834
32;F;839
32;M;876
31;M;823
31;F;855
30;F;820
30;M;865
29;F;861
29;M;856
28;M;843
28;F;877
27;F;854
27;M;859
26;M;851
26;F;802
25;M;936
25;F;819
24;M;820
24;F;793
23;F;838
23;M;857
22;M;799
22;F;846
21;F;822
21;M;834
20;M;861
20;F;832
19;F;805
19;M;877
18;M;864
18;F;820
17;F;878
17;M;941
16;M;856
16;F;828
15;M;811
15;F;891
14;F;884
14;M;874
13;F;832
13;M;853
12;M;785
12;F;864
