date;daily_sales
19/06/2025;756938.95
18/06/2025;548047.9
17/06/2025;527263.24
16/06/2025;274648.75
13/06/2025;257327.15
21/06/2025;243646.13
20/06/2025;241303.29
15/06/2025;220014.01
12/06/2025;206320.57
15/03/2025;203470.5
07/06/2025;203254.67
05/06/2025;196390.23
18/05/2025;194770.33
22/05/2025;183805.51
10/06/2025;181905.1
06/06/2025;178280.35
08/04/2025;173769.13
14/06/2025;170727.92
26/05/2025;167367.55
31/05/2025;164819.13
08/05/2025;163441.1
11/05/2025;163194.99
04/05/2025;161289.14
18/06/2024;158580.22
04/06/2025;157801.1
14/01/2025;155283.82
28/09/2024;154659.43
11/04/2025;153742.71
02/06/2025;153314.96
28/02/2025;153290.76
17/02/2025;152768.42
09/04/2025;152454.85
21/01/2025;152036.32
25/04/2025;149940.67
26/12/2024;149020.79
08/06/2025;147969.6
25/03/2025;146658.46
03/05/2025;146637.05
04/04/2025;144277.45
14/05/2025;144238.41
06/04/2025;142441.16
27/05/2025;142368.09
26/01/2025;142133.38
19/01/2025;141245.16
23/12/2024;139117.85
03/06/2025;136811.28
25/05/2024;135899.97
14/02/2025;135378.52
09/06/2025;134876.64
15/04/2025;134299.2
28/04/2025;133250.01
05/04/2025;132086.97
10/04/2024;130668.22
30/09/2024;129519.67
23/04/2025;128813.22
27/01/2025;128290.48
25/11/2024;128285.44
02/10/2024;128047.15
16/03/2025;127856.58
13/03/2025;127231.6
30/05/2025;126942.66
03/04/2025;126924.24
01/06/2025;126679.7
16/05/2025;126091.28
07/03/2025;125927.4
08/02/2025;125676.04
27/02/2025;125386.01
14/03/2025;125096.26
23/02/2025;124291.98
19/05/2025;123778.8
28/03/2025;121943.39
30/11/2024;121938.64
08/10/2024;120347.49
04/11/2024;119943.21
23/05/2025;119275.23
24/02/2025;119137.47
12/05/2025;118830.82
09/05/2025;118544.38
01/04/2025;118325.98
28/01/2025;117984.02
24/04/2025;117647.62
03/08/2024;117216.11
17/04/2025;117017.5
22/10/2024;116349.58
07/05/2025;115626.94
06/11/2024;115385.13
29/06/2024;115089.93
08/03/2025;115033.65
10/09/2024;113619.29
02/03/2025;113400.31
13/06/2023;113133.09
16/04/2025;112869.7
06/12/2024;112385.24
13/05/2025;112264.67
11/06/2025;112106.61
31/12/2024;111777.61
05/02/2025;110696.31
19/11/2024;110684.11
29/12/2024;109179.38
19/08/2024;109028.43
05/06/2024;108947.2
09/01/2023;108529.08
27/12/2024;106871.32
18/02/2024;106205.28
20/05/2025;105873.07
06/06/2024;105531.95
15/05/2024;104805.67
10/10/2024;104594.57
15/05/2025;104470.54
26/02/2025;104456.33
02/01/2024;103871.47
25/05/2025;103855.24
28/05/2025;103374.29
20/04/2025;103126.09
14/04/2024;103028.86
02/12/2024;103003.05
01/05/2025;102951.07
24/06/2024;102877.55
23/03/2025;102113.49
01/01/2025;101833.42
25/01/2025;101454.55
27/02/2023;100835.66
09/03/2025;100726.25
21/05/2025;100654.47
12/11/2024;100444.61
24/10/2024;100443.34
06/02/2025;100109.89
30/04/2025;100068.61
03/12/2024;99374.43
26/04/2025;99303.34
24/05/2025;99109.23
25/03/2023;99034.6
21/10/2024;98944.04
24/07/2024;98936.86
11/06/2024;98925.26
29/03/2025;98759.87
20/03/2025;98433.91
06/03/2025;98206.28
19/04/2025;97747.55
31/03/2025;97192.16
25/02/2025;97027.0
