category;total_inventory;available_stock;sold_stock;sell_through_rate
Dresses;14303;8969;5339;37.33
Socks & Hosiery;9851;6185;3667;37.22
Jeans;34754;21826;12935;37.22
Blazers & Jackets;8413;5290;3126;37.16
Socks;16886;10618;6269;37.13
Shorts;30032;18885;11150;37.13
Pants;19560;12299;7262;37.13
Plus;11463;7210;4254;37.11
Leggings;8660;5451;3210;37.07
Sleep & Lounge;30417;19146;11273;37.06
Suits & Sport Coats;13700;8626;5077;37.06
Fashion Hoodies & Sweatshirts;31308;19713;11600;37.05
Intimates;35903;22616;13302;37.05
Outerwear & Coats;24748;15581;9167;37.04
Suits;2814;1773;1042;37.03
Active;24457;15409;9052;37.01
Underwear;19959;12573;7387;37.01
Accessories;26884;16952;9936;36.96
Swim;30970;19529;11445;36.96
Pants & Capris;9488;5984;3507;36.96
Clothing Sets;571;360;211;36.95
Sweaters;30162;19027;11139;36.93
Tops & Tees;32796;20697;12104;36.91
Skirts;5839;3686;2153;36.87
Maternity;13862;8757;5107;36.84
Jumpsuits & Rompers;2389;1512;877;36.71
